,type,row_count,column_count,thread_count,iteration_count,func,time,max_time,min_time
382,cilk,500,500,1,1,1.0,58.695,76.2059989752,56.1487038423
383,cilk,500,500,8,1,1.0,79.859,103.684042459,76.3945709199
384,cilk,500,500,16,1,1.0,128.272,166.540521348,122.707326676
385,cilk,500,500,48,1,1.0,54.383,70.6075618412,52.0237662672
386,sequential,500,500,1,1,2.0,958.372,1244.2916032,916.796074602
387,pthread,500,500,1,1,2.0,965.364,1253.36958846,923.484748889
388,pthread,500,500,8,1,2.0,345.858,449.040879011,330.854049127
389,pthread,500,500,16,1,2.0,399.465,518.640929902,382.135479689
390,pthread,500,500,48,1,2.0,484.075,628.493380252,463.074943564
391,openmp,500,500,1,1,2.0,489.829,635.964022012,468.579324548
392,cilk,500,500,1,1,2.0,2049.843,2661.39080939,1960.91707182
393,cilk,500,500,8,1,2.0,776.357,1007.97445688,742.677217291
394,cilk,500,500,16,1,2.0,649.742,843.585283008,621.555006933
395,cilk,500,500,48,1,2.0,277.607,360.427953957,265.563901994
396,sequential,500,500,1,5,1.0,177.845,230.903073307,170.129759517
397,pthread,500,500,1,5,1.0,194.148,252.069891627,185.725505641
398,pthread,500,500,8,5,1.0,46.498,60.3701599855,44.4808319492
399,pthread,500,500,16,5,1.0,44.802,58.1681772908,42.8584075227
400,pthread,500,500,48,5,1.0,44.123,57.2866052097,42.2088637811
401,openmp,500,500,1,5,1.0,648.082,841.430040512,619.96702076
402,cilk,500,500,1,5,1.0,298.265,387.249037982,285.325720275
403,cilk,500,500,8,5,1.0,154.769,200.942605936,148.054838487
404,cilk,500,500,16,5,1.0,73.428,95.334425296,70.2425594298
405,cilk,500,500,48,5,1.0,54.009,70.1219831102,51.6659910694
406,sequential,500,500,1,5,2.0,4812.067,6247.6935492,4603.31075649
407,pthread,500,500,1,5,2.0,4836.179,6278.99909563,4626.37673395
408,pthread,500,500,8,5,2.0,1996.197,2591.74012329,1909.59833314
409,pthread,500,500,16,5,2.0,2238.521,2906.35878749,2141.40987603
410,pthread,500,500,48,5,2.0,897.409,1165.14097171,858.477760736
411,openmp,500,500,1,5,2.0,1081.304,1403.89899507,1034.39506022
412,cilk,500,500,1,5,2.0,8151.938,10583.9778324,7798.2920607
413,cilk,500,500,8,5,2.0,2204.265,2861.88289175,2108.6399638
414,cilk,500,500,16,5,2.0,1507.903,1957.76905141,1442.4874175
415,cilk,500,500,48,5,2.0,1127.572,1463.97053712,1078.65586999
416,sequential,1,500,1,1,1.0,0.135,0.175275745151,0.129143453765
417,pthread,1,500,1,1,1.0,0.313,0.40638006098,0.299421489099
418,pthread,1,500,8,1,1.0,0.578,0.750439857018,0.552925305748
419,pthread,1,500,16,1,1.0,1.182,1.53463652421,1.13072268407
420,pthread,1,500,48,1,1.0,4.152,5.39070291754,3.97187866689
421,openmp,1,500,1,1,1.0,138.178,179.401866026,132.183586328
422,cilk,1,500,1,1,1.0,3.609,4.68570492038,3.45243499731
423,cilk,1,500,8,1,1.0,2.154,2.7966218893,2.06055555118
424,cilk,1,500,16,1,1.0,3.556,4.61689296117,3.40173423398
425,cilk,1,500,48,1,1.0,1.952,2.534357441,1.86731867962
426,sequential,1,500,1,1,2.0,2.044,2.65380461547,1.95532755181
427,pthread,1,500,1,1,2.0,2.866,3.72103915262,2.74166769251
428,pthread,1,500,8,1,2.0,2.318,3.00954946119,2.21744093205
429,pthread,1,500,16,1,2.0,3.707,4.81294212797,3.54618357856
